intent,user_utterances,response
Admission Process,"What is the admission process?","The admission process involves submitting an application online. For more information, you can call 8887776660 or visit https://prmitr.ac.in/fybe-admissions/."
Admission Requirements,"What are the requirements for B.E admission?","You need to have completed your 12th grade with at least 50% marks in relevant subjects. For more details, please call 8887776660."
Course Options,"What courses do you offer for M.E?","We offer M.E. in various branches. For specifics, please call 8887776660."
PhD Admission,"How can I apply for a PhD program?","The application for PhD programs is available online. For more details, please call 8887776660."
Branches Offered,"Which branches are available for B.E, M.E, and PhD?","All branches of engineering are available for B.E, M.E, and PhD. For more information, please call 8887776660."
Important Dates,"When is the admission deadline?","The admission deadline is June 30th. For any updates, please check our website or call 8887776660."
Scholarships,"Are there scholarships available for admissions?","Yes, we offer scholarships based on merit and financial need. Please call 8887776660 for more details."
Contact Information,"How can I contact the college for more info?","You can call us at 8887776660 or visit our website at https://prmitr.ac.in/."
Application Status,"How can I check my application status?","You can check your application status by visiting our website or by calling 8887776660."
Entrance Exams,"Do I need to take an entrance exam for admission?","Yes, entrance exams like JEE are generally required for admission. For specific details, please call 8887776660."
Course Duration,"What is the duration of the B.E and M.E programs?","B.E. programs typically last 4 years, while M.E. programs last 2 years. For more information, please call 8887776660."
Internship Opportunities,"Are internships provided during the courses?","Yes, we facilitate internships for students during their courses. For more details, please call 8887776660."
Placement Records,"What is the placement record of the college?","Our college has a strong placement record. For specific statistics, please call 8887776660 or visit https://prmitr.ac.in/aim/."
Faculty Qualifications,"What are the qualifications of the faculty?","Our faculty members are highly qualified with extensive experience in their fields. For more details, please call 8887776660."
Campus Life,"What is campus life like at the college?","Campus life is vibrant with various clubs and activities. For more details, please call 8887776660."
Facilities,"What facilities are available for students on campus?","We have modern classrooms, libraries, and sports facilities. For more information, please call 8887776660."
IEDC TBI Cell,"What is the IEDC TBI Cell?","The IEDC TBI Cell supports innovation and entrepreneurship. More details can be found at https://prmitr.ac.in/iedc-tbi-cell/."
Alumni Association,"Tell me about the Alumni Association.","Our Alumni Association keeps graduates connected. More information is available at https://prmitr.ac.in/alumni-association-body/."
IQAC,"What is the role of the IQAC?","The Internal Quality Assurance Cell (IQAC) ensures quality in education. Learn more at https://prmitr.ac.in/about-iqac/."
NAAC,"What is NAAC accreditation?","We are accredited by NAAC. More information can be found at https://prmitr.ac.in/NAAC/SSR-SECOND-CYCLE-PRMITR.pdf."
Contact Details,"What are the contact details for the college?","You can reach us at Prof Ram Meghe Square, Badnera. Office: 07212580373. Fax: 07212580372. For Principal Dr. D.G. Harkut, email: principal@prmitr.ac.in."
Payment Methods,"What are the payment methods for admission fees?","You can pay via bank transfer or online payment methods. For more details, please call 8887776660."
